id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,70296.0,1404940184179,1,1404944822906,43452461188,70898.0,69287.0,37.53,0.05342,849964748.0,0.06053,19989546.0,19989612.0,21000000.0,126080.0,-44.24514,2025-10-06T18:57:42.558Z,67.81,103567.15983,2013-07-06T00:00:00.000Z,0,2026-02-15T11:46:23.482Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2060.75,248716991099,2,248716991099,24525710979,2099.89,2042.07,-36.72976177632518,-1.75114,-4433025602.401459,-1.75115,120692457.8999966,120692457.8999966,0.0,4946.05,-58.3354,2025-08-24T19:21:03.333Z,0.432979,475847.32739,2015-10-20T00:00:00.000Z,"{'times': 38.19479878406789, 'currency': 'btc', 'percentage': 3819.4798784067893}",2026-02-15T11:46:23.664Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999658,183689120753,3,189215716576,79353971770,0.999905,0.999568,4.369e-05,0.00437,-59972610.824279785,-0.03264,183755310128.5224,189283897370.0162,0.0,1.32,-24.44458,2018-07-24T00:00:00.000Z,0.572521,74.60848,2015-03-02T00:00:00.000Z,0,2026-02-15T11:46:32.091Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.58,95969899516,4,157518753851,4562310464,1.66,1.46,0.111063,7.58539,6777078534.0,7.59823,60917315351.0,99985721048.0,100000000000.0,3.65,-56.80018,2025-07-18T03:40:53.808Z,0.00268621,58541.38843,2014-05-22T00:00:00.000Z,0,2026-02-15T11:46:32.938Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,629.77,85875598189,5,85875598189,879075376,640.72,627.03,-2.4468705639758355,-0.38703,-321308148.12583923,-0.37276,136359300.61,136359300.61,200000000.0,1369.99,-54.03078,2025-10-13T08:41:24.131Z,0.0398177,1581544.48275,2017-10-19T00:00:00.000Z,0,2026-02-15T11:46:23.408Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999803,73565736073,6,73582938886,4243310715,1.0,0.999803,-3.4222726258304e-05,-0.00342,82996961.0,0.11295,73580203813.55371,73597410009.07652,0.0,1.17,-14.73385,2019-05-08T00:40:28.300Z,0.877647,13.93211,2023-03-11T08:02:13.981Z,0,2026-02-15T11:46:29.463Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,89.22,50685368606,7,55364624656,4024797715,90.96,86.19,2.41,2.78167,1449665517.0,2.94434,567957691.0086491,620391352.5329285,0.0,293.31,-69.58267,2025-01-19T11:15:27.957Z,0.500801,17714.98746,2020-05-11T19:35:23.449Z,0,2026-02-15T11:46:31.608Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.280958,26612777270,8,26613528140,461306608,0.283713,0.280878,-0.00258669452288407,-0.91227,-243234252.0119934,-0.9057,94721937776.40399,94724610323.9176,0.0,0.431288,-34.85619,2024-12-04T00:10:40.323Z,0.00180434,15471.20036,2017-11-12T00:00:00.000Z,"{'times': 146.87244789982154, 'currency': 'usd', 'percentage': 14687.244789982153}",2026-02-15T11:46:31.784Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.113121,19090085293,9,19090085293,2942431015,0.116792,0.099364,0.01301855,13.00528,2214809697.0,13.12458,168747073126.579,168747073126.579,0.0,0.731578,-84.53747,2021-05-08T05:08:23.458Z,8.69e-05,130067.57423,2015-05-06T00:00:00.000Z,0,2026-02-15T11:46:29.090Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.02,15462023670,10,15462023670,56542,1.034,1.019,-0.01367840000000009,-1.3234,-188778701.90876007,-1.20619,15160334529.097,15160334529.097,0.0,1.37,-25.53318,2025-10-28T06:05:38.345Z,0.155357,556.48959,2025-10-31T14:27:24.456Z,0,2026-02-15T05:28:04.736Z
